PVmodel,Variable,mean,std
mSi0247,IL,1.3609355688095093,0.9543279409408569
mSi0247,I0,-22.836950302124023,2.2677712440490723
mSi0247,Rs,1.9888076782226562,1.9089186191558838
mSi0247,Gp,0.0028644369449466467,0.0011589817004278302
mSi0251,S,501.766845703125,349.27606201171875
mSi0251,T,32.44522476196289,14.961647987365723
mSi0251,b,1.1176217794418335,0.05505968630313873
mSi0251,IL,1.3631733655929565,0.9532667994499207
mSi0251,I0,-22.8369197845459,2.260434865951538
mSi0251,Rs,1.7529492378234863,1.3939268589019775
mSi0251,Gp,0.002709223423153162,0.0007557236822322011
mSi460A8,S,409.2121887207031,345.07879638671875
mSi460A8,T,28.68036460876465,12.56224250793457
mSi460A8,b,1.150713324546814,0.04803844168782234
mSi460A8,IL,2.075974702835083,1.7591651678085327
