Module, Model, n, b, IL, I0, Gp, Rs, Adjust, deltaRs, lambda, mIL, mI0, mGp, mRs, alphaIsc, betaVoc, gammaPmp, RMSE 
aSiTriple28325,6,0.828784002643712,1.118029740840557,4.805385468530941,0.000000000023660,0.041376840343178,0.964347127120517,-25.16,0.000000000000000,0.005783503138251,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.005561586204905,-0.070853178826269,-0.183395419777010,0.186831596947543
aSiTriple28325,7,0.959320366425372,0.965897520909802,4.782850697307318,0.000000000798552,0.039350354710468,0.890081640597550,0.00,-0.008981979295223,0.003329116503332,1.095043242844404,0.327831379519995,1.215179443690836,-0.620196491687333,0.004621000009308,-0.094669036556638,-0.183395420930612,0.000000222967332
CdTe75638,5,2.787521848169673,0.332411803084870,1.194959603478361,0.000000000000248,0.001674199735263,15.360412029998296,0.00,0.000000000000000,0.000466000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000454326753996,-0.209903246712884,-0.200977335964314,0.291289780667569
CdTe75638,6,2.441505148452026,0.379522101059684,1.198575222650833,0.000000000000004,0.001786172953415,16.135018474253133,-29.83,0.000000000000000,0.000604994799179,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000588046318306,-0.147295547776594,-0.133636859858566,0.229171502388671
CdTe75638,7,2.785470059889744,0.332656658935773,1.194980110675475,0.000000000000243,0.001674857135077,15.364892897864586,0.00,-0.004715046882592,0.000336634428706,1.043950667578678,0.000148206455340,0.700030375129685,-0.638835408807274,0.000466010325884,-0.209903229091424,-0.133636859931663,0.000012967777870
CdTe75669,5,2.744880938207520,0.337575721697294,1.204846116407983,0.000000000000150,0.001625130874710,14.557936794572901,0.00,0.000000000000000,0.000470800000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000459912605777,-0.201618431816541,-0.195800735310048,0.246089646842030
CdTe75669,6,2.451431121214675,0.377985396232312,1.207754811146673,0.000000000000004,0.001717444866091,15.214363828163208,-26.35,0.000000000000000,0.000594853557954,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000579705268233,-0.148492672451539,-0.137345039492054,0.202433819367552
CdTe75669,7,2.743256588907425,0.337775608535983,1.204861607495824,0.000000000000147,0.001625637637774,14.561494830949533,0.00,-0.004181974497736,0.000365428117225,1.043209277994503,0.073506170024168,0.728248044328570,-0.675496591054424,0.000470793704022,-0.201618407658088,-0.137345039351366,0.000007808620466
CIGS1-001,5,1.563629461704046,0.592598941362191,2.537356205879064,0.000000000018144,0.004268202817114,1.801023805681911,0.00,0.000000000000000,0.000251800000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000249871465741,-0.138176045254568,-0.323471235134765,0.045790353215289
CIGS1-001,6,1.507172119799896,0.614797176457572,2.538535739701140,0.000000000006945,0.004388668750707,1.858325645476816,-7.39,0.000000000000000,0.000270410612517,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000268219024768,-0.127963390568198,-0.299804504629630,0.056905222478403
CIGS1-001,7,1.563427025690127,0.592675672393170,2.537360353476473,0.000000000018083,0.004268633810062,1.801227840745751,0.00,-0.002742575908695,0.000200638834335,0.993189814298247,0.384130704651310,0.499285666575420,-0.773910365427200,0.000251792369177,-0.138176045254568,-0.299804504824808,0.000017497676819
CIGS8-001,5,1.482576202950637,0.624996652343678,2.536218192116880,0.000000000007779,0.008917004769198,2.265379407312192,0.00,0.000000000000000,0.000248600000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000243664803889,-0.126480028370679,-0.258678880697794,0.011682750285504
CIGS8-001,6,1.485367107544902,0.623822325795334,2.536115914438380,0.000000000008174,0.008910935464269,2.262305410282218,0.40,0.000000000000000,0.000247612637726,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000242706366116,-0.126982369295092,-0.259696673648380,0.013878185574378
CIGS8-001,7,1.482624143250223,0.624976443225346,2.536216433977673,0.000000000007785,0.008916900498496,2.265326585879380,0.00,0.000133190459834,0.000260310033263,0.972475700808393,0.731539134466791,0.418848513149844,-1.054765861782115,0.000248587213036,-0.126480028370679,-0.259696673781944,0.000029696810347
CIGS39013,5,1.478652195473108,0.626655251671319,6.266700409503358,0.000000000037662,0.042170479495441,1.758783241765255,0.00,0.000000000000000,-0.001750200000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,-0.001629356107813,-0.130304045029561,-0.562375936748687,0.084907558072836
CIGS39013,6,1.609480234554759,0.575717019566185,6.242263698823870,0.000000000300673,0.041214732838774,1.697937720742274,17.79,0.000000000000000,-0.001438817193901,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,-0.001344726427988,-0.153486795611002,-0.646296377148729,0.168646902898845
CIGS39013,7,1.480967504912348,0.625675553727555,6.266255680979255,0.000000000039197,0.042153375732141,1.757688459788221,0.00,0.003057675907588,-0.000558175058701,0.919563378628264,1.643763143520013,0.362049088670870,-0.978157887023611,-0.001750199993822,-0.130304045029561,-0.646296377068651,0.000000199528883
CIGS39017,5,1.500910754079029,0.617361932526842,6.745706300126580,0.000000000040959,0.041456785473264,1.624790425941026,0.00,0.000000000000000,-0.001896000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,-0.001776350879723,-0.132352045483231,-0.639678674609900,0.101479037954010
CIGS39017,6,1.674246511856272,0.553446076863080,6.713630582935904,0.000000000578668,0.040119422424990,1.552447555810635,23.25,0.000000000000000,-0.001455123951311,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,-0.001369826190256,-0.163127815824282,-0.765209428755753,0.209034579719286
CIGS39017,7,1.503715120209389,0.616210578210800,6.745167887899480,0.000000000042959,0.041434854329683,1.623594369798179,0.00,0.004000845220611,-0.000322515473974,0.959214741828932,1.195301325610564,0.491032218635486,-0.886801947967436,-0.001895999997004,-0.132352045554285,-0.765209428862867,0.000000198722354
HIT05662,5,1.672846256449564,0.553909338719010,5.500670834834394,0.000000000003153,0.002280795767097,0.612275150153699,0.00,0.000000000000000,0.001647900000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001645601672706,-0.132209827512497,-0.706121518349221,0.008112630548623
HIT05662,6,1.682262161521419,0.550809014720118,5.500516512984535,0.000000000003692,0.002251101483670,0.607871437941651,1.29,0.000000000000000,0.001626567070191,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001624344037054,-0.133921389533498,-0.716134582240571,0.011133930697838
HIT05662,7,1.672859459507912,0.553904966984566,5.500670617320811,0.000000000003154,0.002280754118850,0.612268968805121,0.00,0.000629956449082,0.001655033342823,0.993800561567043,0.163927285496105,0.861046737687780,-0.684031854459758,0.001647899710022,-0.132209827441443,-0.716134583096632,0.000000760367277
HIT05667,5,1.676404247192240,0.552733724720928,5.465132726316115,0.000000000004974,0.002972693496684,0.563087578972474,0.00,0.000000000000000,0.001636800000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001634064448197,-0.135296918344352,-0.709151206646652,0.025728669647608
HIT05667,6,1.708056985304066,0.542490778505025,5.464592619858955,0.000000000008318,0.002873102838463,0.548150815168174,4.25,0.000000000000000,0.001567218020117,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001564753251415,-0.141048586357329,-0.742202999375507,0.035330115443419
HIT05667,7,1.676449151555190,0.552718919526409,5.465131947014117,0.000000000004978,0.002972552087736,0.563066314980274,0.00,0.002317037463276,0.001660698651090,0.995635090703414,0.160909012469219,1.054965897411920,-0.481869906675758,0.001636799691340,-0.135296918486461,-0.742202998452512,0.000000364483800
mSi0166,5,0.812782891974311,1.140040191345263,2.733477863508273,0.000000000031131,0.004582652661596,0.438177317290570,0.00,0.000000000000000,0.001364000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001361265642430,-0.072831026045606,-0.177647198060660,0.034619871781905
mSi0166,6,0.834225212961403,1.110737423530042,2.733037483679403,0.000000000059511,0.004413668929386,0.418378655110249,5.35,0.000000000000000,0.001290993341172,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001288612421213,-0.076729231892614,-0.188972279720545,0.044420611034604
mSi0166,7,0.812830532623188,1.139973372676079,2.733476861526776,0.000000000031177,0.004582276731617,0.438133109720263,0.00,0.004222088242738,0.001389862238449,0.997127104164633,0.237274056302609,0.409779929175586,-0.849622294404062,0.001363999095894,-0.072831026081133,-0.188972279914656,0.000000434967051
mSi0188,5,0.812265639453959,1.140766171410937,2.736083725957662,0.000000000030689,0.004497197150963,0.495524419008928,0.00,0.000000000000000,0.001092000000000,1.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.001089570540458,-0.072831026010078,-0.182653681162535,0.015807817596606
