Module,Model,n,b,IL,I0,Gp,Rs,Adjust,deltaRs,deltaI0,lambda,mIL,mI0,mGp,mRs,alphaIsc,betaVoc,gammaPmp,RMSE
mSi460A8,5,0.796750203,1.162980769,5.027317152,5.91E-11,0.007756004,0.394029663,0,0,,0.0035084,1,0,1,0,0.003497698,-0.071313026,-0.30916802,0.044720115
mSi460A8,6,0.822593081,1.12644415,5.025982152,1.30E-10,0.007311869,0.381535136,6.6,0,,0.00327683,1,0,1,0,0.003267693,-0.076020006,-0.335104223,0.054966082
mSi460A8,7,0.796808314,1.162895953,5.027314077,5.93E-11,0.007755004,0.394001392,0,0.003175906,,0.003567756,0.998699887,0.344398192,0.610632137,-0.704657315,0.003508388,-0.071313026,-0.335104224,2.05E-06
mSi460A8,11,,1.151287896,4.537585141,7.17E-11,0.007381606,0.287168388,,0.002683214,1.010851684,,,-0.210522517,0.614188033,-0.696832605,0.013711254,,,
mSi460BB,5,0.798573005,1.160326179,5.016980558,5.74E-11,0.00599582,0.432640777,0,0,,0.002502,1,0,1,0,0.002495509,-0.071577026,-0.328951309,0.009585007
mSi460BB,6,0.804218911,1.152180272,5.016683662,6.85E-11,0.005895542,0.429935825,1.44,0,,0.002466095,1,0,1,0,0.00245984,-0.072604181,-0.334435289,0.012778622
mSi460BB,7,0.798587045,1.160305779,5.016979815,5.74E-11,0.00599557,0.432634042,0,0.000610076,,0.002516409,0.998747673,0.30965124,0.631101808,-0.586225783,0.002501982,-0.071577026,-0.334435289,4.12E-06
mSi460BB,11,,1.156818866,4.762194637,5.56E-11,0.00556673,0.390498621,,-0.00032725,1.036243544,,,-0.022927677,0.494809385,-0.646491152,0.00608614,,,
xSi11246,5,0.824316357,1.124089259,5.118274085,8.49E-11,0.01578732,0.527526382,0,0,,0.0030456,1,0,1,0,0.003020484,-0.074868028,-0.319453908,0.190248148
xSi11246,6,0.739252759,1.25343484,5.126011485,4.89E-12,0.017302383,0.569432446,-20.61,0,,0.003673316,1,0,1,0,0.003637469,-0.059437228,-0.240296376,0.163550361
xSi11246,7,0.824009861,1.124507372,5.118300463,8.41E-11,0.015792743,0.527674267,0,-0.007624426,,0.002748464,0.997182703,0.198891705,1.207163937,-0.394611334,0.00304564,-0.074868028,-0.240296376,7.58E-06
xSi11246,11,,1.121943151,4.890984173,8.76E-11,0.014357151,0.490619478,,-0.010649557,1.010458676,,,0.147490651,1.032980836,-0.431959692,0.005099818,,,
xSi12922,5,0.824602431,1.123699286,5.143526065,8.51E-11,0.008204971,0.392852076,0,0,,0.0025635,1,0,1,0,0.002555247,-0.075004028,-0.347395437,0.002978257
xSi12922,6,0.826035773,1.121749438,5.143448885,8.89E-11,0.008180795,0.392172923,0.35,0,,0.002554594,1,0,1,0,0.002546407,-0.075264607,-0.348801264,0.004341016
xSi12922,7,0.824613558,1.123684124,5.143525465,8.52E-11,0.008204784,0.392846802,0,0.000179374,,0.002574727,0.996995445,0.173078547,0.724568314,-0.30441491,0.002563483,-0.075004028,-0.348801264,3.78E-06
xSi12922,11,,1.118890852,4.906905386,8.54E-11,0.00750055,0.368278933,,-0.000200654,1.032404209,,,0.103353297,0.59521061,-0.331134569,0.004786253,,,
CIGS8-001,5,1.482576203,0.624996652,2.536218192,7.78E-12,0.008917005,2.265379407,0,0,,0.0002486,1,0,1,0,0.000243665,-0.126480028,-0.258678881,0.01168275
CIGS8-001,6,1.485367108,0.623822326,2.536115914,8.17E-12,0.008910935,2.26230541,0.4,0,,0.000247613,1,0,1,0,0.000242706,-0.126982369,-0.259696674,0.013878186
CIGS8-001,7,1.482624143,0.624976443,2.536216434,7.79E-12,0.0089169,2.265326586,0,0.00013319,,0.00026031,0.972475701,0.731539134,0.418848513,-1.054765862,0.000248587,-0.126480028,-0.259696674,2.97E-05
CIGS39017,5,1.500910754,0.617361933,6.7457063,4.10E-11,0.041456785,1.624790426,0,0,,-0.001896,1,0,1,0,-0.001776351,-0.132352045,-0.639678675,0.101479038
CIGS39017,6,1.674246512,0.553446077,6.713630583,5.79E-10,0.040119422,1.552447556,23.25,0,,-0.001455124,1,0,1,0,-0.001369826,-0.163127816,-0.765209429,0.20903458
CIGS39017,7,1.50371512,0.616210578,6.745167888,4.30E-11,0.041434854,1.62359437,0,0.004000845,,-0.000322515,0.959214742,1.195301326,0.491032219,-0.886801948,-0.001896,-0.132352046,-0.765209429,1.99E-07
